date,team,total_rank,average_rank,total_points,average_points,prev_day_diff,important_event
20251024,Alexander's Awesome Team,1,0,0.0,0.0,0.0,
20251024,Neon Cobras 99,2,0,0.0,0.0,0.0,
20251024,Antonin's Team,3,0,0.0,0.0,0.0,
20251024,Ersan Ilyasova,4,0,0.0,0.0,0.0,
20251024,Her Majesty’s Ball Handler,5,0,0.0,0.0,0.0,
20251024,Baptiste team,6,0,0.0,0.0,0.0,
20251024,The Bronsegsuals,7,0,0.0,0.0,0.0,
20251024,KATs and Dogs,8,0,0.0,0.0,0.0,
20251024,Elie Auquaubeau,9,0,0.0,0.0,0.0,
20251024,Tom's Talented Team,10,0,0.0,0.0,0.0,
20251024,Giulia's Great Team,10,0,0.0,0.0,0.0,
20251024,Bricked I Am,12,0,0.0,0.0,0.0,
20251024,Marx Madness,13,0,0.0,0.0,0.0,
20251024,Alexander's Awesome Team,1,0,352.12,44.015,352.12,
20251024,Neon Cobras 99,2,0,425.432,53.179,425.432,
20251024,Antonin's Team,3,0,276.359,34.544875,276.359,
20251024,Ersan Ilyasova,4,0,440.691,55.086375,0.0,
20251024,Her Majesty’s Ball Handler,5,0,334.809,41.851125,334.809,
20251024,Baptiste team,6,0,373.275,46.659375,0.0,
20251024,The Bronsegsuals,7,0,363.19,45.39875,0.0,
20251024,KATs and Dogs,8,0,418.379,52.297375,418.379,
20251024,Elie Auquaubeau,9,0,355.329,44.416125,355.329,
20251024,Tom's Talented Team,10,0,405.926,50.74075,405.926,
20251024,Giulia's Great Team,10,0,356.02,44.5025,356.02,
20251024,Bricked I Am,12,0,323.04200000000003,40.380250000000004,323.04200000000003,
20251024,Marx Madness,13,0,310.237,38.779625,0.0,
